Size_Decile,HBI_Quintile,Alpha_Daily,Alpha_Annualized,Beta_Mktrf,Beta_Smb,Beta_Hml,Beta_Umd,Residual_Std,R_Squared,N_Observations
4,2,-0.0001816970606410505,-0.04475919602513878,0.9648543095878319,1.7169446349211088,-0.39832777089100685,-0.0812193521008575,0.008392210462898309,0.841376311083522,2897267
4,3,9.4677927250121e-06,0.0023887209308557367,0.9213537921279927,1.4933300107234506,-0.18578377920428452,-0.09041128419938206,0.007482103626638979,0.8427993985032609,2897267
4,4,-4.746723805932183e-05,-0.01189076726330729,0.9290176859583529,1.195746526455765,0.1500452665040929,-0.08340021733357703,0.005312441007142996,0.892489984856424,2897267
4,5,-6.916948145686361e-05,-0.017280265788194638,0.8963201264951219,0.9242673615763566,0.2129203900692491,-0.021460783832012293,0.005265282023836875,0.8630600768452398,2897267
5,1,-0.00042669503899135566,-0.10196846736574805,1.207607840391733,1.7153921820819305,-0.5893697784448965,-0.299883962239553,0.008037145026352225,0.896118022510978,2897267
5,2,-0.0002495994831895953,-0.06096912619033179,1.0339277402554994,1.6124458612417656,-0.43063602831497727,-0.10346623410447871,0.007350807625340703,0.8771838075870275,2897267
5,3,-7.287115511671721e-05,-0.0181966057638544,1.0057327318031046,1.3845107198726845,-0.08692957594867447,-0.08683561213652316,0.005239237337692272,0.916203632350334,2897267
5,4,-8.281097825595666e-05,-0.020652975213510505,0.9878628057876934,1.0828935592257967,0.26363001256137036,-0.05745624643988706,0.00399437107099203,0.9342908201755827,2897267
5,5,0.00011101767337029355,0.02836987290204207,0.9307832274529613,0.9339281818033749,0.3606561957745639,0.004795566716231562,0.004094090291981619,0.9153818826980957,2897267
6,1,3.787266910100817e-05,0.00958941852517503,1.176415847920061,1.4580826393758461,-0.548010212811917,-0.2602584119725641,0.006535106917553941,0.9168027112438227,2897267
6,2,-8.08954451080237e-06,-0.002036496982679492,1.0544357019218604,1.3463216895907797,-0.3790738051940203,-0.1023353908117575,0.005182785878175464,0.9263617162181041,2897267
6,3,-0.00013763285903495076,-0.034091208040902155,0.9736703596447069,1.1420796106518905,-0.027694685416025187,-0.1102406169061709,0.0036836973934799722,0.9485914538811105,2897267
6,4,-5.366638644751285e-05,-0.013433249936964264,0.9643663221307512,0.9712886715361188,0.26682866282568146,-0.03771263027447775,0.0031833406703898025,0.951948038773851,2897267
